"YearsSinceBurn","Compound","Concentration"
"517",8,"compound.1",1.9
"518",8,"alpha.chamigrene",0.8
"519",8,"widdrol",9.6
"520",8,"cedrol",14.6
"521",8,"beta.acorenol",0
"522",8,"alpha.acorenol",0
"523",8,"gamma.eudesmol",1.4
"524",8,"beta.eudesmol",1.1
"525",8,"alpha.eudesmol",0.6
"526",8,"cedr.8.en.13.ol",17.2
"527",8,"cedr.8.en.15.ol",3.4
"528",8,"compound.2",2.3
"529",8,"thujopsenal",2.4
"530",9,"alpha.pinene",0.1
"531",9,"para.cymene",0.5
"532",9,"alpha.terpineol",2.8
"533",9,"cedr.9.ene",0.4
"534",9,"alpha.cedrene",8.7
"535",9,"beta.cedrene",2.8
"536",9,"cis.thujopsene",28.9
"537",9,"alpha.himachalene",0.3
"538",9,"beta.chamigrene",0.5
"539",9,"cuparene",1.5
"540",9,"compound.1",1
"541",9,"alpha.chamigrene",0.3
"542",9,"widdrol",1.5
"543",9,"cedrol",39.9
"544",9,"beta.acorenol",1.5
"545",9,"alpha.acorenol",0.7
"546",9,"gamma.eudesmol",0
"547",9,"beta.eudesmol",1.2
"548",9,"alpha.eudesmol",0.3
"549",9,"cedr.8.en.13.ol",0.3
"550",9,"cedr.8.en.15.ol",0.8
"551",9,"compound.2",0.4
"552",9,"thujopsenal",1.5
"553",11,"alpha.pinene",0.2
"554",11,"para.cymene",0.6
"555",11,"alpha.terpineol",1.1
"556",11,"cedr.9.ene",0.5
"557",11,"alpha.cedrene",8.6
"558",11,"beta.cedrene",2.9
"559",11,"cis.thujopsene",14.4
"560",11,"alpha.himachalene",0.3
"561",11,"beta.chamigrene",0.5
"562",11,"cuparene",1.7
"563",11,"compound.1",0.8
"564",11,"alpha.chamigrene",0.3
"565",11,"widdrol",2.9
"566",11,"cedrol",37.3
"567",11,"beta.acorenol",0
"568",11,"alpha.acorenol",0
"569",11,"gamma.eudesmol",3.2
"570",11,"beta.eudesmol",4.8
"571",11,"alpha.eudesmol",1.6
"572",11,"cedr.8.en.13.ol",6.4
"573",11,"cedr.8.en.15.ol",1.6
"574",11,"compound.2",0.9
"575",11,"thujopsenal",1.8
"576",12,"alpha.pinene",0.1
"577",12,"para.cymene",0.2
"578",12,"alpha.terpineol",0.1
"579",12,"cedr.9.ene",0.9
"580",12,"alpha.cedrene",35.5
"581",12,"beta.cedrene",7.6
"582",12,"cis.thujopsene",15.9
"583",12,"alpha.himachalene",0.4
"584",12,"beta.chamigrene",1.4
"585",12,"cuparene",1.9
"586",12,"compound.1",2.7
"587",12,"alpha.chamigrene",1
"588",12,"widdrol",4.3
"589",12,"cedrol",16.4
"590",12,"beta.acorenol",0
"591",12,"alpha.acorenol",0
"592",12,"gamma.eudesmol",0.6
"593",12,"beta.eudesmol",0
"594",12,"alpha.eudesmol",0
"595",12,"cedr.8.en.13.ol",2.3
"596",12,"cedr.8.en.15.ol",0.8
"597",12,"compound.2",0.6
"598",12,"thujopsenal",0.7
"599",13,"alpha.pinene",0.1
"600",13,"para.cymene",0.3
"601",13,"alpha.terpineol",0.3
"602",13,"cedr.9.ene",0.8
"603",13,"alpha.cedrene",7.6
"604",13,"beta.cedrene",2.7
"605",13,"cis.thujopsene",28.7
"606",13,"alpha.himachalene",0.4
"607",13,"beta.chamigrene",0.9
"608",13,"cuparene",2.1
"609",13,"compound.1",1.7
"610",13,"alpha.chamigrene",0.5
"611",13,"widdrol",5.6
"612",13,"cedrol",19
"613",13,"beta.acorenol",1.7
"614",13,"alpha.acorenol",1.1
"615",13,"gamma.eudesmol",0
"616",13,"beta.eudesmol",1.1
"617",13,"alpha.eudesmol",0.5
"618",13,"cedr.8.en.13.ol",10
"619",13,"cedr.8.en.15.ol",2.3
"620",13,"compound.2",1
"621",13,"thujopsenal",3.1
"622",15,"alpha.pinene",1.9
"623",15,"para.cymene",0.7
"624",15,"alpha.terpineol",1.1
"625",15,"cedr.9.ene",1
"626",15,"alpha.cedrene",19.2
"627",15,"beta.cedrene",4.8
"628",15,"cis.thujopsene",15
"629",15,"alpha.himachalene",0.4
"630",15,"beta.chamigrene",1.3
"631",15,"cuparene",2
"632",15,"compound.1",2.9
"633",15,"alpha.chamigrene",1
"634",15,"widdrol",7.9
"635",15,"cedrol",15.7
"636",15,"beta.acorenol",0
"637",15,"alpha.acorenol",0
"638",15,"gamma.eudesmol",1.7
"639",15,"beta.eudesmol",1
"640",15,"alpha.eudesmol",0.5
"641",15,"cedr.8.en.13.ol",5.6
"642",15,"cedr.8.en.15.ol",1.1
"643",15,"compound.2",1.5
"644",15,"thujopsenal",1.5
"645",16,"alpha.pinene",0
"646",16,"para.cymene",2.2
"647",16,"alpha.terpineol",6.2
"648",16,"cedr.9.ene",0.9
"649",16,"alpha.cedrene",7.6
"650",16,"beta.cedrene",3
"651",16,"cis.thujopsene",34.9
"652",16,"alpha.himachalene",0.5
"653",16,"beta.chamigrene",0.9
"654",16,"cuparene",2.2
"655",16,"compound.1",2
"656",16,"alpha.chamigrene",0.5
"657",16,"widdrol",4.1
"658",16,"cedrol",13.8
"659",16,"beta.acorenol",1.1
"660",16,"alpha.acorenol",0.8
"661",16,"gamma.eudesmol",0
"662",16,"beta.eudesmol",0.6
"663",16,"alpha.eudesmol",0.2
"664",16,"cedr.8.en.13.ol",6.1
"665",16,"cedr.8.en.15.ol",1.1
"666",16,"compound.2",0.7
"667",16,"thujopsenal",2.1
"668",18,"alpha.pinene",0
"669",18,"para.cymene",0
"670",18,"alpha.terpineol",0
"671",18,"cedr.9.ene",0
"672",18,"alpha.cedrene",6.7
"673",18,"beta.cedrene",2
"674",18,"cis.thujopsene",32.8
"675",18,"alpha.himachalene",0
"676",18,"beta.chamigrene",0.9
"677",18,"cuparene",5.2
"678",18,"compound.1",1.1
"679",18,"alpha.chamigrene",0.8
"680",18,"widdrol",7.1
"681",18,"cedrol",19.1
"682",18,"beta.acorenol",0
"683",18,"alpha.acorenol",0
"684",18,"gamma.eudesmol",0
"685",18,"beta.eudesmol",0.5
"686",18,"alpha.eudesmol",0.3
"687",18,"cedr.8.en.13.ol",1.8
"688",18,"cedr.8.en.15.ol",0.3
"689",18,"compound.2",0.5
"690",18,"thujopsenal",3.5
"691",19,"alpha.pinene",0
"692",19,"para.cymene",0.5
"693",19,"alpha.terpineol",1.5
"694",19,"cedr.9.ene",0.7
"695",19,"alpha.cedrene",3.1
"696",19,"beta.cedrene",1.5
"697",19,"cis.thujopsene",29.6
"698",19,"alpha.himachalene",0.4
"699",19,"beta.chamigrene",1
"700",19,"cuparene",3.1
"701",19,"compound.1",1.8
"702",19,"alpha.chamigrene",0.6
"703",19,"widdrol",9
"704",19,"cedrol",6.9
"705",19,"beta.acorenol",0
"706",19,"alpha.acorenol",0
"707",19,"gamma.eudesmol",5.5
"708",19,"beta.eudesmol",7.9
"709",19,"alpha.eudesmol",3
"710",19,"cedr.8.en.13.ol",2.8
"711",19,"cedr.8.en.15.ol",2.5
"712",19,"compound.2",1.7
"713",19,"thujopsenal",2.3
"714",20,"alpha.pinene",0
"715",20,"para.cymene",3.4
"716",20,"alpha.terpineol",3
"717",20,"cedr.9.ene",1.1
"718",20,"alpha.cedrene",4.9
"719",20,"beta.cedrene",2.1
"720",20,"cis.thujopsene",36.9
"721",20,"alpha.himachalene",0.6
"722",20,"beta.chamigrene",1.6
"723",20,"cuparene",3.6
"724",20,"compound.1",2.8
"725",20,"alpha.chamigrene",1
"726",20,"widdrol",8.3
"727",20,"cedrol",4.6
"728",20,"beta.acorenol",0
"729",20,"alpha.acorenol",0
"730",20,"gamma.eudesmol",3.2
"731",20,"beta.eudesmol",3.8
"732",20,"alpha.eudesmol",1.6
"733",20,"cedr.8.en.13.ol",1.5
"734",20,"cedr.8.en.15.ol",0.8
"735",20,"compound.2",1.4
"736",20,"thujopsenal",1
"737",21,"alpha.pinene",0
"738",21,"para.cymene",0.1
"739",21,"alpha.terpineol",0
"740",21,"cedr.9.ene",1.2
"741",21,"alpha.cedrene",17.5
"742",21,"beta.cedrene",4.2
"743",21,"cis.thujopsene",16.1
"744",21,"alpha.himachalene",0.6
"745",21,"beta.chamigrene",1.1
"746",21,"cuparene",1.7
"747",21,"compound.1",3.2
"748",21,"alpha.chamigrene",1
"749",21,"widdrol",4.9
"750",21,"cedrol",16.9
"751",21,"beta.acorenol",0
